"","Ti","Zr","Hf","Nb","Ni","Cu","Fe","Pd","Co","Mn","Cr"
"104",37,4,10,0,45,4,0,0,0,0,0
"105",36,5,10,0,45,4,0,0,0,0,0
"106",35,6,10,0,45,4,0,0,0,0,0
"107",34,7,10,0,45,4,0,0,0,0,0
"108",33,8,10,0,45,4,0,0,0,0,0
"109",32,9,10,0,45,4,0,0,0,0,0
"110",31,10,10,0,45,4,0,0,0,0,0
"111",40,0,11,0,45,4,0,0,0,0,0
"112",39,1,11,0,45,4,0,0,0,0,0
"113",38,2,11,0,45,4,0,0,0,0,0
"114",37,3,11,0,45,4,0,0,0,0,0
"115",36,4,11,0,45,4,0,0,0,0,0
"116",35,5,11,0,45,4,0,0,0,0,0
"117",34,6,11,0,45,4,0,0,0,0,0
"118",33,7,11,0,45,4,0,0,0,0,0
"119",32,8,11,0,45,4,0,0,0,0,0
"120",31,9,11,0,45,4,0,0,0,0,0
"121",39,0,12,0,45,4,0,0,0,0,0
"122",38,1,12,0,45,4,0,0,0,0,0
"123",37,2,12,0,45,4,0,0,0,0,0
"124",36,3,12,0,45,4,0,0,0,0,0
"125",35,4,12,0,45,4,0,0,0,0,0
"126",34,5,12,0,45,4,0,0,0,0,0
"127",33,6,12,0,45,4,0,0,0,0,0
"128",32,7,12,0,45,4,0,0,0,0,0
"129",31,8,12,0,45,4,0,0,0,0,0
"130",38,0,13,0,45,4,0,0,0,0,0
"131",37,1,13,0,45,4,0,0,0,0,0
"132",36,2,13,0,45,4,0,0,0,0,0
"133",35,3,13,0,45,4,0,0,0,0,0
"134",34,4,13,0,45,4,0,0,0,0,0
"135",33,5,13,0,45,4,0,0,0,0,0
"136",32,6,13,0,45,4,0,0,0,0,0
"137",31,7,13,0,45,4,0,0,0,0,0
"138",37,0,14,0,45,4,0,0,0,0,0
"139",36,1,14,0,45,4,0,0,0,0,0
"140",35,2,14,0,45,4,0,0,0,0,0
"141",34,3,14,0,45,4,0,0,0,0,0
"142",33,4,14,0,45,4,0,0,0,0,0
"143",32,5,14,0,45,4,0,0,0,0,0
"144",31,6,14,0,45,4,0,0,0,0,0
"145",36,0,15,0,45,4,0,0,0,0,0
"146",35,1,15,0,45,4,0,0,0,0,0
"147",34,2,15,0,45,4,0,0,0,0,0
"148",33,3,15,0,45,4,0,0,0,0,0
"149",32,4,15,0,45,4,0,0,0,0,0
"150",31,5,15,0,45,4,0,0,0,0,0
"151",35,0,16,0,45,4,0,0,0,0,0
"152",34,1,16,0,45,4,0,0,0,0,0
"153",33,2,16,0,45,4,0,0,0,0,0
"154",32,3,16,0,45,4,0,0,0,0,0
"155",31,4,16,0,45,4,0,0,0,0,0
"156",34,0,17,0,45,4,0,0,0,0,0
"157",33,1,17,0,45,4,0,0,0,0,0
"158",32,2,17,0,45,4,0,0,0,0,0
"159",31,3,17,0,45,4,0,0,0,0,0
"160",33,0,18,0,45,4,0,0,0,0,0
"161",32,1,18,0,45,4,0,0,0,0,0
"162",31,2,18,0,45,4,0,0,0,0,0
"163",32,0,19,0,45,4,0,0,0,0,0
"164",31,1,19,0,45,4,0,0,0,0,0
"165",31,0,20,0,45,4,0,0,0,0,0
"166",40,11,0,0,44,5,0,0,0,0,0
"167",39,12,0,0,44,5,0,0,0,0,0
"168",38,13,0,0,44,5,0,0,0,0,0
"169",37,14,0,0,44,5,0,0,0,0,0
"170",36,15,0,0,44,5,0,0,0,0,0
"171",35,16,0,0,44,5,0,0,0,0,0
"172",34,17,0,0,44,5,0,0,0,0,0
"173",33,18,0,0,44,5,0,0,0,0,0
"174",32,19,0,0,44,5,0,0,0,0,0
"175",31,20,0,0,44,5,0,0,0,0,0
"176",40,10,1,0,44,5,0,0,0,0,0
"177",39,11,1,0,44,5,0,0,0,0,0
"178",38,12,1,0,44,5,0,0,0,0,0
"179",37,13,1,0,44,5,0,0,0,0,0
"180",36,14,1,0,44,5,0,0,0,0,0
"181",35,15,1,0,44,5,0,0,0,0,0
"182",34,16,1,0,44,5,0,0,0,0,0
"183",33,17,1,0,44,5,0,0,0,0,0
"184",32,18,1,0,44,5,0,0,0,0,0
"185",31,19,1,0,44,5,0,0,0,0,0
"186",40,9,2,0,44,5,0,0,0,0,0
"187",39,10,2,0,44,5,0,0,0,0,0
"188",38,11,2,0,44,5,0,0,0,0,0
"189",37,12,2,0,44,5,0,0,0,0,0
"190",36,13,2,0,44,5,0,0,0,0,0
"191",35,14,2,0,44,5,0,0,0,0,0
"192",34,15,2,0,44,5,0,0,0,0,0
"193",33,16,2,0,44,5,0,0,0,0,0
"194",32,17,2,0,44,5,0,0,0,0,0
"195",31,18,2,0,44,5,0,0,0,0,0
"196",40,8,3,0,44,5,0,0,0,0,0
"197",39,9,3,0,44,5,0,0,0,0,0
"198",38,10,3,0,44,5,0,0,0,0,0
"199",37,11,3,0,44,5,0,0,0,0,0
"200",36,12,3,0,44,5,0,0,0,0,0
"201",35,13,3,0,44,5,0,0,0,0,0
"202",34,14,3,0,44,5,0,0,0,0,0
"203",33,15,3,0,44,5,0,0,0,0,0
"204",32,16,3,0,44,5,0,0,0,0,0
"205",31,17,3,0,44,5,0,0,0,0,0
"206",40,7,4,0,44,5,0,0,0,0,0
"207",39,8,4,0,44,5,0,0,0,0,0
"208",38,9,4,0,44,5,0,0,0,0,0
"209",37,10,4,0,44,5,0,0,0,0,0
"210",36,11,4,0,44,5,0,0,0,0,0
"211",35,12,4,0,44,5,0,0,0,0,0
"212",34,13,4,0,44,5,0,0,0,0,0
"213",33,14,4,0,44,5,0,0,0,0,0
"214",32,15,4,0,44,5,0,0,0,0,0
"215",31,16,4,0,44,5,0,0,0,0,0
"216",40,6,5,0,44,5,0,0,0,0,0
"217",39,7,5,0,44,5,0,0,0,0,0
"218",38,8,5,0,44,5,0,0,0,0,0
"219",37,9,5,0,44,5,0,0,0,0,0
"220",36,10,5,0,44,5,0,0,0,0,0
"221",35,11,5,0,44,5,0,0,0,0,0
"222",34,12,5,0,44,5,0,0,0,0,0
"223",33,13,5,0,44,5,0,0,0,0,0
"224",32,14,5,0,44,5,0,0,0,0,0
"225",31,15,5,0,44,5,0,0,0,0,0
"226",40,5,6,0,44,5,0,0,0,0,0
"227",39,6,6,0,44,5,0,0,0,0,0
"228",38,7,6,0,44,5,0,0,0,0,0
"229",37,8,6,0,44,5,0,0,0,0,0
"230",36,9,6,0,44,5,0,0,0,0,0
"231",35,10,6,0,44,5,0,0,0,0,0
"232",34,11,6,0,44,5,0,0,0,0,0
"233",33,12,6,0,44,5,0,0,0,0,0
"234",32,13,6,0,44,5,0,0,0,0,0
"235",31,14,6,0,44,5,0,0,0,0,0
"236",40,4,7,0,44,5,0,0,0,0,0
"237",39,5,7,0,44,5,0,0,0,0,0
"238",38,6,7,0,44,5,0,0,0,0,0
"239",37,7,7,0,44,5,0,0,0,0,0
"240",36,8,7,0,44,5,0,0,0,0,0
"241",35,9,7,0,44,5,0,0,0,0,0
"242",34,10,7,0,44,5,0,0,0,0,0
"243",33,11,7,0,44,5,0,0,0,0,0
"244",32,12,7,0,44,5,0,0,0,0,0
"245",31,13,7,0,44,5,0,0,0,0,0
"246",40,3,8,0,44,5,0,0,0,0,0
"247",39,4,8,0,44,5,0,0,0,0,0
"248",38,5,8,0,44,5,0,0,0,0,0
"249",37,6,8,0,44,5,0,0,0,0,0
"250",36,7,8,0,44,5,0,0,0,0,0
"251",35,8,8,0,44,5,0,0,0,0,0
"252",34,9,8,0,44,5,0,0,0,0,0
"253",33,10,8,0,44,5,0,0,0,0,0
"254",32,11,8,0,44,5,0,0,0,0,0
"255",31,12,8,0,44,5,0,0,0,0,0
"256",40,2,9,0,44,5,0,0,0,0,0
"257",39,3,9,0,44,5,0,0,0,0,0
"258",38,4,9,0,44,5,0,0,0,0,0
"259",37,5,9,0,44,5,0,0,0,0,0
"260",36,6,9,0,44,5,0,0,0,0,0
"261",35,7,9,0,44,5,0,0,0,0,0
"262",34,8,9,0,44,5,0,0,0,0,0
"263",33,9,9,0,44,5,0,0,0,0,0
"264",32,10,9,0,44,5,0,0,0,0,0
"265",31,11,9,0,44,5,0,0,0,0,0
"266",40,1,10,0,44,5,0,0,0,0,0
"267",39,2,10,0,44,5,0,0,0,0,0
"268",38,3,10,0,44,5,0,0,0,0,0
"269",37,4,10,0,44,5,0,0,0,0,0
"270",36,5,10,0,44,5,0,0,0,0,0
"271",35,6,10,0,44,5,0,0,0,0,0
"272",34,7,10,0,44,5,0,0,0,0,0
"273",33,8,10,0,44,5,0,0,0,0,0
"274",32,9,10,0,44,5,0,0,0,0,0
"275",31,10,10,0,44,5,0,0,0,0,0
"276",40,0,11,0,44,5,0,0,0,0,0
"277",39,1,11,0,44,5,0,0,0,0,0
"278",38,2,11,0,44,5,0,0,0,0,0
"279",37,3,11,0,44,5,0,0,0,0,0
"280",36,4,11,0,44,5,0,0,0,0,0
"281",35,5,11,0,44,5,0,0,0,0,0
"282",34,6,11,0,44,5,0,0,0,0,0
"283",33,7,11,0,44,5,0,0,0,0,0
"284",32,8,11,0,44,5,0,0,0,0,0
"285",31,9,11,0,44,5,0,0,0,0,0
"286",39,0,12,0,44,5,0,0,0,0,0
"287",38,1,12,0,44,5,0,0,0,0,0
"288",37,2,12,0,44,5,0,0,0,0,0
"289",36,3,12,0,44,5,0,0,0,0,0
"290",35,4,12,0,44,5,0,0,0,0,0
"291",34,5,12,0,44,5,0,0,0,0,0
"292",33,6,12,0,44,5,0,0,0,0,0
"293",32,7,12,0,44,5,0,0,0,0,0
"294",31,8,12,0,44,5,0,0,0,0,0
"295",38,0,13,0,44,5,0,0,0,0,0
"296",37,1,13,0,44,5,0,0,0,0,0
"297",36,2,13,0,44,5,0,0,0,0,0
"298",35,3,13,0,44,5,0,0,0,0,0
"299",34,4,13,0,44,5,0,0,0,0,0
"300",33,5,13,0,44,5,0,0,0,0,0
"301",32,6,13,0,44,5,0,0,0,0,0
"302",31,7,13,0,44,5,0,0,0,0,0
"303",37,0,14,0,44,5,0,0,0,0,0
"304",36,1,14,0,44,5,0,0,0,0,0
"305",35,2,14,0,44,5,0,0,0,0,0
"306",34,3,14,0,44,5,0,0,0,0,0
"307",33,4,14,0,44,5,0,0,0,0,0
"308",32,5,14,0,44,5,0,0,0,0,0
"309",31,6,14,0,44,5,0,0,0,0,0
"310",36,0,15,0,44,5,0,0,0,0,0
"311",35,1,15,0,44,5,0,0,0,0,0
"312",34,2,15,0,44,5,0,0,0,0,0
"313",33,3,15,0,44,5,0,0,0,0,0
"314",32,4,15,0,44,5,0,0,0,0,0
"315",31,5,15,0,44,5,0,0,0,0,0
"316",35,0,16,0,44,5,0,0,0,0,0
"317",34,1,16,0,44,5,0,0,0,0,0
"318",33,2,16,0,44,5,0,0,0,0,0
"319",32,3,16,0,44,5,0,0,0,0,0
"320",31,4,16,0,44,5,0,0,0,0,0
"321",34,0,17,0,44,5,0,0,0,0,0
"322",33,1,17,0,44,5,0,0,0,0,0
"323",32,2,17,0,44,5,0,0,0,0,0
"324",31,3,17,0,44,5,0,0,0,0,0
"325",33,0,18,0,44,5,0,0,0,0,0
"326",32,1,18,0,44,5,0,0,0,0,0
"327",31,2,18,0,44,5,0,0,0,0,0
"328",32,0,19,0,44,5,0,0,0,0,0
"329",31,1,19,0,44,5,0,0,0,0,0
"330",31,0,20,0,44,5,0,0,0,0,0
"331",39.9,11,0,0,44.1,5,0,0,0,0,0
"332",38.9,12,0,0,44.1,5,0,0,0,0,0
"333",37.9,13,0,0,44.1,5,0,0,0,0,0
"334",36.9,14,0,0,44.1,5,0,0,0,0,0
"335",35.9,15,0,0,44.1,5,0,0,0,0,0
"336",34.9,16,0,0,44.1,5,0,0,0,0,0
"337",33.9,17,0,0,44.1,5,0,0,0,0,0
"338",32.9,18,0,0,44.1,5,0,0,0,0,0
"339",31.9,19,0,0,44.1,5,0,0,0,0,0
"340",30.9,20,0,0,44.1,5,0,0,0,0,0
"341",39.9,10,1,0,44.1,5,0,0,0,0,0
"342",38.9,11,1,0,44.1,5,0,0,0,0,0
"343",37.9,12,1,0,44.1,5,0,0,0,0,0
"344",36.9,13,1,0,44.1,5,0,0,0,0,0
"345",35.9,14,1,0,44.1,5,0,0,0,0,0
"346",34.9,15,1,0,44.1,5,0,0,0,0,0
"347",33.9,16,1,0,44.1,5,0,0,0,0,0
"348",32.9,17,1,0,44.1,5,0,0,0,0,0
"349",31.9,18,1,0,44.1,5,0,0,0,0,0
"350",30.9,19,1,0,44.1,5,0,0,0,0,0
"351",39.9,9,2,0,44.1,5,0,0,0,0,0
"352",38.9,10,2,0,44.1,5,0,0,0,0,0
"353",37.9,11,2,0,44.1,5,0,0,0,0,0
"354",36.9,12,2,0,44.1,5,0,0,0,0,0
"355",35.9,13,2,0,44.1,5,0,0,0,0,0
"356",34.9,14,2,0,44.1,5,0,0,0,0,0
"357",33.9,15,2,0,44.1,5,0,0,0,0,0
"358",32.9,16,2,0,44.1,5,0,0,0,0,0
"359",31.9,17,2,0,44.1,5,0,0,0,0,0
"360",30.9,18,2,0,44.1,5,0,0,0,0,0
"361",39.9,8,3,0,44.1,5,0,0,0,0,0
"362",38.9,9,3,0,44.1,5,0,0,0,0,0
"363",37.9,10,3,0,44.1,5,0,0,0,0,0
"364",36.9,11,3,0,44.1,5,0,0,0,0,0
"365",35.9,12,3,0,44.1,5,0,0,0,0,0
"366",34.9,13,3,0,44.1,5,0,0,0,0,0
"367",33.9,14,3,0,44.1,5,0,0,0,0,0
"368",32.9,15,3,0,44.1,5,0,0,0,0,0
"369",31.9,16,3,0,44.1,5,0,0,0,0,0
"370",30.9,17,3,0,44.1,5,0,0,0,0,0
"371",39.9,7,4,0,44.1,5,0,0,0,0,0
"372",38.9,8,4,0,44.1,5,0,0,0,0,0
"373",37.9,9,4,0,44.1,5,0,0,0,0,0
"374",36.9,10,4,0,44.1,5,0,0,0,0,0
"375",35.9,11,4,0,44.1,5,0,0,0,0,0
"376",34.9,12,4,0,44.1,5,0,0,0,0,0
"377",33.9,13,4,0,44.1,5,0,0,0,0,0
"378",32.9,14,4,0,44.1,5,0,0,0,0,0
"379",31.9,15,4,0,44.1,5,0,0,0,0,0
"380",30.9,16,4,0,44.1,5,0,0,0,0,0
"381",39.9,6,5,0,44.1,5,0,0,0,0,0
"382",38.9,7,5,0,44.1,5,0,0,0,0,0
"383",37.9,8,5,0,44.1,5,0,0,0,0,0
"384",36.9,9,5,0,44.1,5,0,0,0,0,0
"385",35.9,10,5,0,44.1,5,0,0,0,0,0
"386",34.9,11,5,0,44.1,5,0,0,0,0,0
"387",33.9,12,5,0,44.1,5,0,0,0,0,0
"388",32.9,13,5,0,44.1,5,0,0,0,0,0
"389",31.9,14,5,0,44.1,5,0,0,0,0,0
"390",30.9,15,5,0,44.1,5,0,0,0,0,0
"391",39.9,5,6,0,44.1,5,0,0,0,0,0
"392",38.9,6,6,0,44.1,5,0,0,0,0,0
"393",37.9,7,6,0,44.1,5,0,0,0,0,0
"394",36.9,8,6,0,44.1,5,0,0,0,0,0
"395",35.9,9,6,0,44.1,5,0,0,0,0,0
"396",34.9,10,6,0,44.1,5,0,0,0,0,0
"397",33.9,11,6,0,44.1,5,0,0,0,0,0
"398",32.9,12,6,0,44.1,5,0,0,0,0,0
"399",31.9,13,6,0,44.1,5,0,0,0,0,0
"400",30.9,14,6,0,44.1,5,0,0,0,0,0
"401",39.9,4,7,0,44.1,5,0,0,0,0,0
"402",38.9,5,7,0,44.1,5,0,0,0,0,0
"403",37.9,6,7,0,44.1,5,0,0,0,0,0
"404",36.9,7,7,0,44.1,5,0,0,0,0,0
"405",35.9,8,7,0,44.1,5,0,0,0,0,0
"406",34.9,9,7,0,44.1,5,0,0,0,0,0
"407",33.9,10,7,0,44.1,5,0,0,0,0,0
"408",32.9,11,7,0,44.1,5,0,0,0,0,0
"409",31.9,12,7,0,44.1,5,0,0,0,0,0
"410",30.9,13,7,0,44.1,5,0,0,0,0,0
"411",39.9,3,8,0,44.1,5,0,0,0,0,0
"412",38.9,4,8,0,44.1,5,0,0,0,0,0
"413",37.9,5,8,0,44.1,5,0,0,0,0,0
"414",36.9,6,8,0,44.1,5,0,0,0,0,0
"415",35.9,7,8,0,44.1,5,0,0,0,0,0
"416",34.9,8,8,0,44.1,5,0,0,0,0,0
"417",33.9,9,8,0,44.1,5,0,0,0,0,0
"418",32.9,10,8,0,44.1,5,0,0,0,0,0
"419",31.9,11,8,0,44.1,5,0,0,0,0,0
"420",30.9,12,8,0,44.1,5,0,0,0,0,0
"421",39.9,2,9,0,44.1,5,0,0,0,0,0
"422",38.9,3,9,0,44.1,5,0,0,0,0,0
"423",37.9,4,9,0,44.1,5,0,0,0,0,0
"424",36.9,5,9,0,44.1,5,0,0,0,0,0
"425",35.9,6,9,0,44.1,5,0,0,0,0,0
"426",34.9,7,9,0,44.1,5,0,0,0,0,0
"427",33.9,8,9,0,44.1,5,0,0,0,0,0
"428",32.9,9,9,0,44.1,5,0,0,0,0,0
"429",31.9,10,9,0,44.1,5,0,0,0,0,0
"430",30.9,11,9,0,44.1,5,0,0,0,0,0
"431",39.9,1,10,0,44.1,5,0,0,0,0,0
"432",38.9,2,10,0,44.1,5,0,0,0,0,0
"433",37.9,3,10,0,44.1,5,0,0,0,0,0
"434",36.9,4,10,0,44.1,5,0,0,0,0,0
"435",35.9,5,10,0,44.1,5,0,0,0,0,0
"436",34.9,6,10,0,44.1,5,0,0,0,0,0
"437",33.9,7,10,0,44.1,5,0,0,0,0,0
"438",32.9,8,10,0,44.1,5,0,0,0,0,0
"439",31.9,9,10,0,44.1,5,0,0,0,0,0
"440",30.9,10,10,0,44.1,5,0,0,0,0,0
"441",39.9,0,11,0,44.1,5,0,0,0,0,0
"442",38.9,1,11,0,44.1,5,0,0,0,0,0
"443",37.9,2,11,0,44.1,5,0,0,0,0,0
"444",36.9,3,11,0,44.1,5,0,0,0,0,0
"445",35.9,4,11,0,44.1,5,0,0,0,0,0
"446",34.9,5,11,0,44.1,5,0,0,0,0,0
"447",33.9,6,11,0,44.1,5,0,0,0,0,0
"448",32.9,7,11,0,44.1,5,0,0,0,0,0
"449",31.9,8,11,0,44.1,5,0,0,0,0,0
"450",30.9,9,11,0,44.1,5,0,0,0,0,0
"451",38.9,0,12,0,44.1,5,0,0,0,0,0
"452",37.9,1,12,0,44.1,5,0,0,0,0,0
"453",36.9,2,12,0,44.1,5,0,0,0,0,0
"454",35.9,3,12,0,44.1,5,0,0,0,0,0
"455",34.9,4,12,0,44.1,5,0,0,0,0,0
"456",33.9,5,12,0,44.1,5,0,0,0,0,0
"457",32.9,6,12,0,44.1,5,0,0,0,0,0
"458",31.9,7,12,0,44.1,5,0,0,0,0,0
"459",30.9,8,12,0,44.1,5,0,0,0,0,0
"460",37.9,0,13,0,44.1,5,0,0,0,0,0
"461",36.9,1,13,0,44.1,5,0,0,0,0,0
"462",35.9,2,13,0,44.1,5,0,0,0,0,0
"463",34.9,3,13,0,44.1,5,0,0,0,0,0
"464",33.9,4,13,0,44.1,5,0,0,0,0,0
"465",32.9,5,13,0,44.1,5,0,0,0,0,0
"466",31.9,6,13,0,44.1,5,0,0,0,0,0
"467",30.9,7,13,0,44.1,5,0,0,0,0,0
"468",36.9,0,14,0,44.1,5,0,0,0,0,0
"469",35.9,1,14,0,44.1,5,0,0,0,0,0
"470",34.9,2,14,0,44.1,5,0,0,0,0,0
"471",33.9,3,14,0,44.1,5,0,0,0,0,0
"472",32.9,4,14,0,44.1,5,0,0,0,0,0
"473",31.9,5,14,0,44.1,5,0,0,0,0,0
"474",30.9,6,14,0,44.1,5,0,0,0,0,0
"475",35.9,0,15,0,44.1,5,0,0,0,0,0
"476",34.9,1,15,0,44.1,5,0,0,0,0,0
"477",33.9,2,15,0,44.1,5,0,0,0,0,0
"478",32.9,3,15,0,44.1,5,0,0,0,0,0
"479",31.9,4,15,0,44.1,5,0,0,0,0,0
"480",30.9,5,15,0,44.1,5,0,0,0,0,0
"481",34.9,0,16,0,44.1,5,0,0,0,0,0
"482",33.9,1,16,0,44.1,5,0,0,0,0,0
"483",32.9,2,16,0,44.1,5,0,0,0,0,0
"484",31.9,3,16,0,44.1,5,0,0,0,0,0
"485",30.9,4,16,0,44.1,5,0,0,0,0,0
"486",33.9,0,17,0,44.1,5,0,0,0,0,0
"487",32.9,1,17,0,44.1,5,0,0,0,0,0
"488",31.9,2,17,0,44.1,5,0,0,0,0,0
"489",30.9,3,17,0,44.1,5,0,0,0,0,0
"490",32.9,0,18,0,44.1,5,0,0,0,0,0
"491",31.9,1,18,0,44.1,5,0,0,0,0,0
"492",30.9,2,18,0,44.1,5,0,0,0,0,0
"493",31.9,0,19,0,44.1,5,0,0,0,0,0
"494",30.9,1,19,0,44.1,5,0,0,0,0,0
"495",30.9,0,20,0,44.1,5,0,0,0,0,0
"496",39.8,11,0,0,44.2,5,0,0,0,0,0
"497",38.8,12,0,0,44.2,5,0,0,0,0,0
"498",37.8,13,0,0,44.2,5,0,0,0,0,0
"499",36.8,14,0,0,44.2,5,0,0,0,0,0
"500",35.8,15,0,0,44.2,5,0,0,0,0,0
"501",34.8,16,0,0,44.2,5,0,0,0,0,0
"502",33.8,17,0,0,44.2,5,0,0,0,0,0
"503",32.8,18,0,0,44.2,5,0,0,0,0,0
"504",31.8,19,0,0,44.2,5,0,0,0,0,0
"505",30.8,20,0,0,44.2,5,0,0,0,0,0
"506",39.8,10,1,0,44.2,5,0,0,0,0,0
"507",38.8,11,1,0,44.2,5,0,0,0,0,0
"508",37.8,12,1,0,44.2,5,0,0,0,0,0
"509",36.8,13,1,0,44.2,5,0,0,0,0,0
"510",35.8,14,1,0,44.2,5,0,0,0,0,0
"511",34.8,15,1,0,44.2,5,0,0,0,0,0
"512",33.8,16,1,0,44.2,5,0,0,0,0,0
"513",32.8,17,1,0,44.2,5,0,0,0,0,0
"514",31.8,18,1,0,44.2,5,0,0,0,0,0
"515",30.8,19,1,0,44.2,5,0,0,0,0,0
"516",39.8,9,2,0,44.2,5,0,0,0,0,0
"517",38.8,10,2,0,44.2,5,0,0,0,0,0
"518",37.8,11,2,0,44.2,5,0,0,0,0,0
"519",36.8,12,2,0,44.2,5,0,0,0,0,0
"520",35.8,13,2,0,44.2,5,0,0,0,0,0
"521",34.8,14,2,0,44.2,5,0,0,0,0,0
"522",33.8,15,2,0,44.2,5,0,0,0,0,0
"523",32.8,16,2,0,44.2,5,0,0,0,0,0
"524",31.8,17,2,0,44.2,5,0,0,0,0,0
"525",30.8,18,2,0,44.2,5,0,0,0,0,0
